carrier_name|id
Carrier 2279|665
Carrier 104870|666
Carrier 1586735|667
Carrier 1317551|668
Carrier 1053118|669
Carrier 1695645|670
Carrier 1113585|671
Carrier 1693535|672
Carrier 1693536|673
Carrier 1184908|674
Carrier 1265515|675
Carrier 563947|676
Carrier 955781|677
Carrier 1695552|678
Carrier 1080029|679
Carrier 1608374|680
Carrier 55001|681
Carrier 1674038|682
Carrier 1299707|683
Carrier 963502|684
Carrier 1479797|685
Carrier 1695511|686
Carrier 48399|687
Carrier 1438707|688
Carrier 24626|689
Carrier 451864|690
Carrier 73246|691
Carrier 651583|692
Carrier 685179|693
Carrier 985182|694
Carrier 1695438|695
Carrier 1049222|696
Carrier 1612575|697
Carrier 370235|698
Carrier 1693338|699
Carrier 1695527|700
Carrier 4094|701
Carrier 1630193|702
Carrier 1695267|703
Carrier 1374222|704
Carrier 109254|705
Carrier 1177925|706
Carrier 1500012|707
Carrier 1052359|708
Carrier 1035879|709
Carrier 1368850|710
Carrier 1461574|711
Carrier 1695483|712
Carrier 88114|713
Carrier 1695476|714
Carrier 1037993|715
Carrier 1055607|716
Carrier 991295|717
Carrier 8914|718
Carrier 660799|719
Carrier 114823|720
Carrier 1688582|721
Carrier 85419|722
Carrier 1695651|723
Carrier 1655530|724
Carrier 1046760|725
Carrier 88202|726
Carrier 75147|727
Carrier 487188|728
Carrier 1215234|729
Carrier 93102|730
Carrier 55452|731
Carrier 41951|732
Carrier 968232|733
Carrier 1695186|734
Carrier 1617031|735
Carrier 63367|736
Carrier 1086443|737
Carrier 46296|738
Carrier 1695536|739
Carrier 1296652|740
Carrier 977018|741
Carrier 105166|742
Carrier 1473237|743
Carrier 56439|744
Carrier 1265786|745
Carrier 1080860|746
Carrier 54470|747
Carrier 862163|748
Carrier 25652|749
Carrier 1008888|750
Carrier 957189|751
Carrier 1061231|752
Carrier 1695505|753
Carrier 1633828|754
Carrier 1113930|755
Carrier 944957|756
Carrier 117597|757
Carrier 1695805|758
Carrier 1469175|759
Carrier 32794|760
Carrier 1103124|761
Carrier 1423854|762
Carrier 1244161|763
Carrier 54272|764
Carrier 671652|765
Carrier 107046|766
Carrier 1031249|767
Carrier 79585|768
Carrier 1548596|769
Carrier 1695245|770
Carrier 1292114|771
Carrier 24508|772
Carrier 754417|773
Carrier 47895|774
Carrier 1084782|775
Carrier 1385680|776
Carrier 969434|777
Carrier 744432|778
Carrier 674439|779
Carrier 102291|780
Carrier 1215347|781
Carrier 1679421|782
Carrier 1020684|783
Carrier 1002555|784
Carrier 860771|785
Carrier 1086712|786
Carrier 1236400|787
Carrier 1475635|788
Carrier 13402|789
Carrier 13726|790
Carrier 4928|791
Carrier 1695618|792
Carrier 152079|793
Carrier 632822|794
Carrier 940495|795
Carrier 1694201|796
Carrier 1407839|797
Carrier 1167673|798
Carrier 1045304|799
Carrier 17835|800
Carrier 1332143|801
Carrier 33629|802
Carrier 1246950|803
Carrier 1005326|804
Carrier 28008|805
Carrier 1127070|806
Carrier 1077712|807
Carrier 1343697|808
Carrier 1053113|809
Carrier 964735|810
Carrier 996379|811
Carrier 941668|812
Carrier 2464|813
Carrier 1338498|814
Carrier 365596|815
Carrier 6100|816
Carrier 59401|817
Carrier 1695433|818
Carrier 1695537|819
Carrier 10002|820
Carrier 68535|821
Carrier 964075|822
Carrier 1468324|823
Carrier 1293449|824
Carrier 1270876|825
Carrier 1612921|826
Carrier 23414|827
Carrier 511984|828
Carrier 1072723|829
Carrier 707147|830
Carrier 43527|831
Carrier 1695334|832
Carrier 1353314|833
Carrier 1332603|834
Carrier 1642265|835
Carrier 1023114|836
Carrier 1693550|837
Carrier 1012360|838
Carrier 1215355|839
Carrier 1508175|840
Carrier 1370808|841
Carrier 34349|842
Carrier 1424861|843
Carrier 1338243|844
Carrier 1637951|845
Carrier 34285|846
Carrier 7490|847
Carrier 1695720|848
Carrier 52724|849
Carrier 1085471|850
Carrier 1052883|851
Carrier 33501|852
Carrier 1044323|853
Carrier 5338|854
Carrier 815759|855
Carrier 1007131|856
Carrier 531462|857
Carrier 1497573|858
Carrier 1695808|859
Carrier 1650683|860
Carrier 1188364|861
Carrier 1360188|862
Carrier 1695351|863
Carrier 1240315|864
Carrier 1283964|865
Carrier 62451|866
Carrier 1645721|867
Carrier 1450227|868
Carrier 1053029|869
Carrier 1022388|870
Carrier 432508|871
Carrier 925702|872
Carrier 73029|873
Carrier 644327|874
Carrier 1561682|875
Carrier 1407031|876
Carrier 1032825|877
Carrier 1508367|878
Carrier 978458|879
Carrier 669788|880
Carrier 1695796|881
Carrier 1041814|882
Carrier 1614459|883
Carrier 97236|884
Carrier 63158|885
Carrier 1387313|886
Carrier 1695274|887
Carrier 1572800|888
Carrier 1287842|889
Carrier 686925|890
Carrier 1066246|891
Carrier 610802|892
Carrier 50093|893
Carrier 1240426|894
Carrier 1050870|895
Carrier 919999|896
Carrier 1033117|897
Carrier 1239765|898
Carrier 1305526|899
Carrier 43797|900
Carrier 1543679|901
Carrier 1025457|902
Carrier 1378019|903
Carrier 578055|904
Carrier 1067217|905
Carrier 150473|906
Carrier 117545|907
Carrier 1416338|908
Carrier 1489863|909
Carrier 1587691|910
Carrier 753264|911
Carrier 25475|912
Carrier 1453255|913
Carrier 1694132|914
Carrier 1056252|915
Carrier 308188|916
Carrier 1470465|917
Carrier 1695743|918
Carrier 806984|919
Carrier 647552|920
Carrier 80841|921
Carrier 89768|922
Carrier 1025622|923
Carrier 1333544|924
Carrier 1154123|925
Carrier 21221|926
Carrier 1693635|927
Carrier 1069135|928
Carrier 1695522|929
Carrier 1695526|930
Carrier 981093|931
Carrier 561280|932
Carrier 109918|933
Carrier 995344|934
Carrier 1071866|935
Carrier 80299|936
Carrier 1695534|937
Carrier 84350|938
Carrier 94108|939
Carrier 1392733|940
Carrier 1048548|941
Carrier 945702|942
Carrier 1295697|943
Carrier 1693483|944
Carrier 994031|945
Carrier 1358452|946
Carrier 963783|947
Carrier 1036232|948
Carrier 1055084|949
Carrier 1051754|950
Carrier 1003220|951
Carrier 16669|952
Carrier 110512|953
Carrier 615933|954
Carrier 27597|955
Carrier 1206340|956
Carrier 122771|957
Carrier 37151|958
Carrier 669140|959
Carrier 1072658|960
Carrier 1695259|961
Carrier 1493762|962
Carrier 123730|963
Carrier 1469806|964
Carrier 1326586|965
Carrier 1435036|966
Carrier 947348|967
Carrier 1694432|968
Carrier 1215423|969
Carrier 88001|970
Carrier 1352784|971
Carrier 944838|972
Carrier 819914|973
Carrier 41610|974
Carrier 1695435|975
Carrier 1436652|976
Carrier 1308877|977
Carrier 48803|978
Carrier 5996|979
Carrier 765555|980
Carrier 1690203|981
Carrier 46513|982
Carrier 1657658|983
Carrier 1036149|984
Carrier 1626850|985
Carrier 1416349|986
Carrier 1695455|987
Carrier 1035234|988
Carrier 1669683|989
Carrier 1308446|990
Carrier 1047029|991
Carrier 1044827|992
Carrier 115262|993
Carrier 935316|994
Carrier 375724|995
Carrier 1695241|996
Carrier 678221|997
Carrier 49821|998
Carrier 85742|999
Carrier 1241093|1000
Carrier 108315|1001
Carrier 381143|1002
Carrier 538258|1003
Carrier 1695292|1004
Carrier 1623799|1005
Carrier 1016367|1006
Carrier 1695519|1007
Carrier 1016754|1008
Carrier 1256256|1009
Carrier 1064563|1010
Carrier 534322|1011
Carrier 1425562|1012
Carrier 1398711|1013
Carrier 1054673|1014
Carrier 1451751|1015
Carrier 1695466|1016
Carrier 1327195|1017
Carrier 1039111|1018
Carrier 1240367|1019
Carrier 694858|1020
Carrier 1592370|1021
Carrier 1650798|1022
Carrier 163053|1023
Carrier 1031719|1024
Carrier 1330914|1025
Carrier 19248|1026
Carrier 1330887|1027
Carrier 88057|1028
Carrier 1316982|1029
Carrier 1444786|1030
Carrier 1628671|1031
Carrier 57607|1032
Carrier 1417083|1033
Carrier 572|1034
Carrier 1427844|1035
Carrier 1145216|1036
Carrier 1567920|1037
Carrier 1086797|1038
Carrier 20160|1039
Carrier 84507|1040
Carrier 73823|1041
Carrier 81816|1042
Carrier 955825|1043
Carrier 1048753|1044
Carrier 1695277|1045
Carrier 2242|1046
Carrier 1604335|1047
Carrier 32005|1048
Carrier 89517|1049
Carrier 1126713|1050
Carrier 115244|1051
Carrier 1662922|1052
Carrier 5043|1053
Carrier 1021474|1054
Carrier 1406661|1055
Carrier 1633721|1056
Carrier 1695391|1057
Carrier 1654710|1058
Carrier 1034828|1059
Carrier 1215438|1060
Carrier 106239|1061
Carrier 1538447|1062
Carrier 14840|1063
Carrier 1440647|1064
Carrier 1615975|1065
Carrier 800776|1066
Carrier 1083794|1067
Carrier 107790|1068
Carrier 1215362|1069
Carrier 962032|1070
Carrier 978481|1071
Carrier 947118|1072
Carrier 965065|1073
Carrier 995955|1074
Carrier 400532|1075
Carrier 505212|1076
Carrier 51917|1077
Carrier 1041647|1078
Carrier 1695357|1079
Carrier 101590|1080
Carrier 95924|1081
Carrier 1598557|1082
Carrier 38789|1083
Carrier 1492069|1084
Carrier 1262171|1085
Carrier 330332|1086
Carrier 4000|1087
Carrier 1084795|1088
Carrier 1340790|1089
Carrier 24241|1090
Carrier 71406|1091
Carrier 1140333|1092
Carrier 1226345|1093
Carrier 342587|1094
Carrier 1121703|1095
Carrier 117599|1096
Carrier 1024934|1097
Carrier 106770|1098
Carrier 1645780|1099
Carrier 1253264|1100
Carrier 35383|1101
Carrier 1075061|1102
Carrier 1567302|1103
Carrier 936214|1104
Carrier 458370|1105
Carrier 104161|1106
Carrier 1043529|1107
Carrier 1695564|1108
Carrier 31047|1109
Carrier 1477566|1110
Carrier 1428479|1111
Carrier 73257|1112
Carrier 1695180|1113
Carrier 7971|1114
Carrier 6967|1115
Carrier 1695440|1116
Carrier 1695349|1117
Carrier 1207954|1118
Carrier 1021379|1119
Carrier 1207302|1120
Carrier 1677669|1121
Carrier 1693588|1122
Carrier 1693549|1123
Carrier 1695515|1124
Carrier 1695234|1125
Carrier 1243288|1126
Carrier 1611471|1127
Carrier 1695405|1128
Carrier 1072494|1129
Carrier 1077459|1130
Carrier 100051|1131
Carrier 1035131|1132
Carrier 260171|1133
Carrier 1452223|1134
