lane|id|pickup|delivery
Columbus,OH -> Baldwinsville,NY|216|Columbus,OH|Baldwinsville,NY
Sioux City,IA -> Longmont,CO|217|Sioux City,IA|Longmont,CO
Las Vegas,NV -> Chicago,IL|218|Las Vegas,NV|Chicago,IL
Fort Collins,CO -> Bangor,ME|219|Fort Collins,CO|Bangor,ME
Pittston,PA -> Deerfield Beach,FL|220|Pittston,PA|Deerfield Beach,FL
Houston,TX -> Idaho Falls,ID|221|Houston,TX|Idaho Falls,ID
Sioux City,IA -> Brookhaven,MS|222|Sioux City,IA|Brookhaven,MS
Hamlin,TX -> Ronkonkoma,NY|223|Hamlin,TX|Ronkonkoma,NY
Greeley,CO -> Houston,TX|224|Greeley,CO|Houston,TX
Kendallville,IN -> Mount Holly,NC|225|Kendallville,IN|Mount Holly,NC
Gulfport,MS -> Upper Marlboro,MD|226|Gulfport,MS|Upper Marlboro,MD
Compton,CA -> Portland,OR|227|Compton,CA|Portland,OR
Carson,CA -> Sumner,WA|228|Carson,CA|Sumner,WA
St. Louis,MO -> Montclair,CA|229|St. Louis,MO|Montclair,CA
Lost Hills,CA -> Pacific,WA|230|Lost Hills,CA|Pacific,WA
Erie,PA -> Milford,MA|231|Erie,PA|Milford,MA
Fairfield,CA -> Idaho Falls,ID|232|Fairfield,CA|Idaho Falls,ID
Granite City,IL -> Anderson,IN|233|Granite City,IL|Anderson,IN
Houston,TX -> Leonardtown,MD|234|Houston,TX|Leonardtown,MD
Commerce,CA -> Clackamas,OR|235|Commerce,CA|Clackamas,OR
Los Angeles,CA -> Layton,UT|236|Los Angeles,CA|Layton,UT
St. Louis,MO -> Pasadena,TX|237|St. Louis,MO|Pasadena,TX
Compton,CA -> Aurora,CO|238|Compton,CA|Aurora,CO
Bolingbrook,IL -> Swedesboro,NJ|239|Bolingbrook,IL|Swedesboro,NJ
Los Angeles,CA -> Aurora,CO|240|Los Angeles,CA|Aurora,CO
Newark,NJ -> Homestead,FL|241|Newark,NJ|Homestead,FL
Brighton,MI -> Statesville,NC|242|Brighton,MI|Statesville,NC
Janesville,WI -> Tucson,AZ|243|Janesville,WI|Tucson,AZ
Houston,TX -> Plant City,FL|244|Houston,TX|Plant City,FL
Bolingbrook,IL -> Reno,NV|245|Bolingbrook,IL|Reno,NV
Idaho Falls,ID -> Tracy,CA|246|Idaho Falls,ID|Tracy,CA
Fort Collins,CO -> Portland,OR|247|Fort Collins,CO|Portland,OR
Decatur,IN -> Laredo,TX|248|Decatur,IN|Laredo,TX
Bolingbrook,IL -> Fort Worth,TX|249|Bolingbrook,IL|Fort Worth,TX
St. Louis,MO -> Worthington,MN|250|St. Louis,MO|Worthington,MN
Warren,OH -> Laredo,TX|251|Warren,OH|Laredo,TX
Baldwinsville,NY -> Santa Fe Springs,CA|252|Baldwinsville,NY|Santa Fe Springs,CA
St. Louis,MO -> Hooksett,NH|253|St. Louis,MO|Hooksett,NH
Bethlehem,PA -> Plant City,FL|254|Bethlehem,PA|Plant City,FL
Saint Michael,MN -> Wilkes-Barre,PA|255|Saint Michael,MN|Wilkes-Barre,PA
Newark,NJ -> Deerfield Beach,FL|256|Newark,NJ|Deerfield Beach,FL
Williamsburg,VA -> Rapid City,SD|257|Williamsburg,VA|Rapid City,SD
Plainfield,IL -> Swedesboro,NJ|258|Plainfield,IL|Swedesboro,NJ
Las Cruces,NM -> Reno,NV|259|Las Cruces,NM|Reno,NV
Conover,NC -> Nogales,AZ|260|Conover,NC|Nogales,AZ
Houston,TX -> Jacksonville,FL|261|Houston,TX|Jacksonville,FL
Rancho Cucamonga,CA -> Laredo,TX|262|Rancho Cucamonga,CA|Laredo,TX
Naperville,IL -> Swedesboro,NJ|263|Naperville,IL|Swedesboro,NJ
Clackamas,OR -> Roanoke,TX|264|Clackamas,OR|Roanoke,TX
Fort Collins,CO -> Spokane Valley,WA|265|Fort Collins,CO|Spokane Valley,WA
Decatur,IN -> Mount Holly,NC|266|Decatur,IN|Mount Holly,NC
St. Louis,MO -> Piedmont,SC|267|St. Louis,MO|Piedmont,SC
Pleasant Prairie,WI -> Sapulpa,OK|268|Pleasant Prairie,WI|Sapulpa,OK
Santa Ana,CA -> McCook,IL|269|Santa Ana,CA|McCook,IL
Carlisle,PA -> Sarasota,FL|270|Carlisle,PA|Sarasota,FL
Rensselaer,IN -> Swedesboro,NJ|271|Rensselaer,IN|Swedesboro,NJ
Lockport,IL -> Mount Holly,NC|272|Lockport,IL|Mount Holly,NC
Fairfield,CA -> Renton,WA|273|Fairfield,CA|Renton,WA
Granite City,IL -> International Falls,MN|274|Granite City,IL|International Falls,MN
Lathrop,CA -> Davenport,IA|275|Lathrop,CA|Davenport,IA
Jacksonville,FL -> Merrimack,NH|276|Jacksonville,FL|Merrimack,NH
Plant City,FL -> Hatfield,MA|277|Plant City,FL|Hatfield,MA
